"ID","Age","Genre","Revenus","Statut_marital","Nb_enfants","Montant","Café","Céréales","Fruits_bio","Haricots","Jambon","Lait","Legumes_bio","Pâtes","Poisson","Poisson_bio","Pommes","Poulet","Purée","Salade","Sauce_tomate","Soda","Viande_bio","Yaourt"
1,46,"Femme",236672,"Marié(e)",1,46,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
2,39,"Femme",180188,"Marié(e)",0,45.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
3,54,"Femme",50623,"Marié(e)",3,21.5,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
4,18,"Homme",16325,"Célibataire",0,45,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
5,24,"Homme",29130,"Célibataire",0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
6,51,"Homme",37320,"Marié(e)",3,33,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
7,22,"Femme",38541,"Célibataire",0,25,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
8,76,"Femme",30674,"Veuf(ve)",1,40,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
9,80,"Homme",26934,"Marié(e)",0,41,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
10,57,"Homme",167006,"Marié(e)",0,48.5,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
11,21,"Homme",28475,"Célibataire",0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
12,59,"Femme",241522,"Célibataire",1,11.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
13,36,"Femme",35329,"Marié(e)",3,26,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
14,71,"Femme",28523,"Marié(e)",1,30,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
15,42,"-",30109,"Célibataire",0,8.5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16,24,"Homme",28209,"Célibataire",0,17.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
17,29,"Femme",56630,"Célibataire",0,19,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
18,73,"Homme",92422,"Marié(e)",2,65.5,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
19,18,"Homme",15712,"Célibataire",0,32,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
20,31,"Femme",56427,"Célibataire",0,23,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
21,53,"Femme",35798,"Marié(e)",3,21.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
22,43,"Femme",56908,"Marié(e)",2,11.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23,38,"Homme",52696,"Marié(e)",3,46,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
24,37,"Femme",37611,"Marié(e)",2,31.5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25,34,"Femme",47271,"Célibataire",1,14,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
26,54,"Femme",42556,"Marié(e)",2,45,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
27,23,"Homme",18521,"Célibataire",0,22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,62,"Homme",109576,"Veuf(ve)",0,34,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1
29,52,"Femme",180648,"Célibataire",2,51,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
30,76,"Homme",33881,"Marié(e)",0,28.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
31,45,"Femme",218938,"Marié(e)",3,66.5,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0
32,35,"Femme",55285,"Marié(e)",3,54,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
33,53,"Homme",37640,"Marié(e)",2,24,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
34,44,"Femme",55364,"Marié(e)",2,35.5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
35,51,"Homme",197632,"Marié(e)",2,34,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
36,20,"Homme",25082,"Célibataire",0,28.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
37,21,"Homme",29552,"Célibataire",0,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
38,35,"Femme",58267,"Marié(e)",3,20,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
39,80,"Homme",27550,"Marié(e)",1,25,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
40,65,"Femme",184376,"Marié(e)",2,56.5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
41,53,"Homme",40743,"Marié(e)",2,20,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42,65,"Homme",21012,"Marié(e)",0,52.5,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1
43,79,"Homme",28655,"Marié(e)",1,56.5,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1
44,69,"Homme",24945,"Marié(e)",0,21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
45,74,"Homme",26655,"Veuf(ve)",1,54.5,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1
46,55,"Homme",39925,"Marié(e)",2,36,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
47,21,"Femme",25375,"Célibataire",0,44,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
48,74,"Femme",20650,"Veuf(ve)",1,24.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
49,62,"Femme",123877,"Marié(e)",2,67.5,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1
50,56,"Homme",208602,"Marié(e)",1,23,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
51,51,"Homme",163673,"Veuf(ve)",2,77,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0
52,73,"Homme",27619,"Veuf(ve)",1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
53,26,"Homme",25666,"Célibataire",0,7.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
54,54,"Homme",30639,"Marié(e)",2,33.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
55,49,"Homme",18804,"Marié(e)",2,73,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1
56,46,"Femme",51220,"Marié(e)",3,31.5,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
57,46,"Femme",39939,"Célibataire",0,41.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
58,55,"Homme",43999,"Marié(e)",3,23.5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
59,37,"Homme",58083,"Marié(e)",3,30,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
60,30,"Femme",48735,"Célibataire",0,18.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
61,72,"Femme",22970,"Veuf(ve)",1,28.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
62,38,"Femme",43627,"Marié(e)",3,48,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
63,25,"Homme",131321,"Veuf(ve)",2,66,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0
64,54,"Femme",15117,"Célibataire",1,39,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
65,57,"Homme",68241,"Célibataire",3,38.5,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1
66,47,"Femme",54502,"Marié(e)",3,63,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
67,19,"Homme",18392,"Célibataire",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,29,"Homme",15245,"Célibataire",0,46,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
69,42,"Femme",248317,"Veuf(ve)",1,37.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
70,28,"Homme",24470,"Célibataire",0,14.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
71,60,"Homme",113401,"Célibataire",1,76.5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
72,22,"Homme",22959,"Célibataire",0,35,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
73,69,"Femme",18267,"Veuf(ve)",1,18.5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
74,35,"Homme",55774,"Marié(e)",2,20.5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
75,36,"Femme",41980,"Marié(e)",3,29.5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
76,33,"Homme",40851,"Veuf(ve)",1,40,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
77,66,"Homme",20627,"Marié(e)",1,24,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1
78,25,"Homme",206934,"Célibataire",3,83,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1
79,37,"Homme",33291,"Marié(e)",2,56.5,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
80,55,"Femme",233442,"Célibataire",2,12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
81,20,"Homme",18674,"Célibataire",0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
82,69,"Femme",18699,"Veuf(ve)",0,16.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
83,24,"Femme",17654,"Célibataire",1,39,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
84,76,"Femme",34970,"Veuf(ve)",1,32,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
85,22,"Femme",24562,"Célibataire",0,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
86,48,"Femme",52488,"Marié(e)",3,40.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
87,67,"Femme",26460,"Veuf(ve)",0,48.5,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0
88,20,"Femme",17296,"Célibataire",0,26.5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
89,21,"Homme",20058,"Célibataire",0,5.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90,59,"Homme",223657,"Marié(e)",2,20,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
91,25,"Homme",29921,"Célibataire",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,74,"Homme",19508,"Marié(e)",1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
93,66,"Homme",31575,"Veuf(ve)",0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
94,68,"Femme",124639,"Marié(e)",0,43.5,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
95,50,"Femme",50695,"Marié(e)",2,40,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
96,27,"Femme",34078,"Célibataire",0,18.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
97,72,"Homme",31765,"Veuf(ve)",1,40.5,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1
98,43,"Femme",26282,"Célibataire",0,27.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
99,34,"Femme",17302,"Célibataire",0,33,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
100,19,"Homme",21049,"Célibataire",0,10.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
101,18,"Femme",40341,"Célibataire",0,57,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0
102,26,"Homme",24185,"Célibataire",0,19.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
